code,name,full_name,list_date,industry,area,market,exchange
600000,浦发银行,上海浦东发展银行股份有限公司,1999-11-10,银行,上海,SH,上海证券交易所
600036,招商银行,招商银行股份有限公司,2002-04-09,银行,深圳,SH,上海证券交易所
600519,贵州茅台,贵州茅台酒股份有限公司,2001-08-27,白酒,贵州,SH,上海证券交易所
600887,伊利股份,内蒙古伊利实业集团股份有限公司,1996-03-12,乳品,内蒙古,SH,上海证券交易所
601318,中国平安,中国平安保险(集团)股份有限公司,2007-03-01,保险,深圳,SH,上海证券交易所
601857,中国石油,中国石油天然气股份有限公司,2007-11-05,石油开采,北京,SH,上海证券交易所
601888,中国中免,中国中免股份有限公司,2009-07-29,免税零售,北京,SH,上海证券交易所
600004,白云机场,广州白云国际机场股份有限公司,2003-02-17,航空机场,广东,SH,上海证券交易所
601166,兴业银行,兴业银行股份有限公司,2007-02-05,银行,福建,SH,上海证券交易所
600276,恒瑞医药,江苏恒瑞医药股份有限公司,2000-10-18,医药制造,江苏,SH,上海证券交易所
000001,平安银行,平安银行股份有限公司,1991-04-03,银行,深圳,SZ,深圳证券交易所
000002,万科A,万科企业股份有限公司,1991-01-29,房地产,深圳,SZ,深圳证券交易所
000858,五粮液,宜宾五粮液股份有限公司,1998-04-27,白酒,四川,SZ,深圳证券交易所
002594,比亚迪,比亚迪股份有限公司,2011-06-30,汽车制造,深圳,SZ,深圳证券交易所
300001,特锐德,青岛特锐德电气股份有限公司,2009-10-30,电气设备,山东,SZ,深圳证券交易所
300015,爱尔眼科,爱尔眼科医院集团股份有限公司,2009-10-30,医疗服务,湖南,SZ,深圳证券交易所
300059,东方财富,东方财富信息股份有限公司,2010-03-19,金融服务,上海,SZ,深圳证券交易所
002415,海康威视,杭州海康威视数字技术股份有限公司,2010-05-28,安防设备,浙江,SZ,深圳证券交易所
